ticker,si_start,si_end,si_rows,sv_start,sv_end,sv_rows,book_start,book_end,book_rows
ROOT,2020-10-30,2024-06-28,89,2024-02-06,2024-06-28,100,2023-11-24,2024-05-31,28
PLMR,2019-04-30,2024-06-28,125,2024-02-06,2024-06-28,100,2023-12-01,2024-05-31,27
KNSL,2017-12-29,2024-06-28,157,2024-02-06,2024-06-28,100,2023-12-01,2024-05-31,27
MCY,2017-12-29,2024-06-28,157,2024-02-06,2024-06-28,100,2010-02-26,2024-05-31,72
LMND,2020-07-15,2024-06-28,96,2024-02-06,2024-06-28,100,2023-12-01,2024-05-31,27
CINF,2017-12-29,2024-06-28,157,2024-02-06,2024-06-28,100,2010-02-26,2024-05-31,73
PGR,2017-12-29,2024-06-28,157,2024-02-06,2024-06-28,100,2010-02-26,2024-05-31,73
AIZ,2017-12-29,2024-06-28,157,2024-02-06,2024-06-28,100,2010-02-26,2024-05-31,72
AIG,2017-12-29,2024-06-28,157,2024-02-06,2024-06-28,100,2010-02-26,2024-05-31,73
BAP,2017-12-29,2024-06-28,157,2024-02-06,2024-06-28,100,2010-02-26,2024-05-31,72
ALL,2017-12-29,2024-06-28,157,2024-02-06,2024-06-28,100,2010-02-26,2024-05-31,74
HIG,2017-12-29,2024-06-28,157,2024-02-06,2024-06-28,100,2010-02-26,2024-05-31,74
